,Movie_1,Movie_2,Movie_3,Movie_4,Movie_5,Movie_6,Movie_7,Movie_8,Movie_9,Movie_10,Movie_11,Movie_12,Movie_13,Movie_14,Movie_15,Movie_16,Movie_17,Movie_18,Movie_19,Movie_20
User_32,5.0,2.0,4.0,4.0,2.0,,4.0,2.0,4.0,4.0,5.0,1.0,4.0,3.0,,1.0,1.0,5.0,4.0,5.0
User_33,4.0,5.0,5.0,3.0,,2.0,,5.0,1.0,2.0,2.0,2.0,3.0,,5.0,1.0,1.0,2.0,1.0,3.0
User_34,,2.0,1.0,,3.0,1.0,5.0,1.0,,1.0,3.0,1.0,,4.0,1.0,5.0,5.0,3.0,5.0,5.0
User_35,5.0,5.0,2.0,2.0,3.0,1.0,5.0,1.0,1.0,3.0,5.0,5.0,4.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0
User_36,3.0,,2.0,4.0,1.0,,5.0,3.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,4.0,,,2.0,
User_37,3.0,3.0,2.0,4.0,1.0,1.0,4.0,2.0,,1.0,5.0,5.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,5.0
User_38,2.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,,4.0,,1.0,,3.0,3.0,5.0,2.0,5.0,2.0
User_39,3.0,3.0,5.0,,,4.0,2.0,5.0,5.0,1.0,5.0,,4.0,2.0,2.0,1.0,2.0,5.0,3.0,
User_40,2.0,1.0,,3.0,5.0,1.0,2.0,,1.0,1.0,3.0,5.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,3.0
User_41,3.0,3.0,4.0,5.0,2.0,2.0,3.0,3.0,1.0,5.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,
User_42,1.0,4.0,2.0,,1.0,5.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,,2.0,2.0,3.0,
User_43,,5.0,1.0,,5.0,5.0,4.0,3.0,1.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0
User_44,1.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,2.0,4.0,,4.0,1.0,4.0,1.0,4.0,1.0,2.0,5.0,3.0
User_45,4.0,5.0,3.0,3.0,1.0,2.0,2.0,5.0,2.0,,2.0,5.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,3.0
User_46,3.0,1.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,4.0,5.0,3.0,1.0,5.0,4.0
User_47,3.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,1.0,5.0,2.0,1.0,,3.0,5.0,1.0,1.0,1.0,,1.0
User_48,2.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,1.0,,3.0,4.0,5.0,1.0,,5.0,5.0,3.0,1.0
User_49,4.0,2.0,2.0,5.0,3.0,2.0,,5.0,,5.0,4.0,,5.0,5.0,4.0,4.0,,2.0,3.0,3.0
User_50,,4.0,4.0,2.0,,,5.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,2.0,1.0,1.0,4.0,3.0
User_51,4.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,,2.0,1.0,3.0,5.0,1.0,3.0,1.0,5.0,5.0,2.0,4.0
User_52,1.0,1.0,3.0,,1.0,5.0,,2.0,,1.0,5.0,,1.0,,4.0,1.0,2.0,3.0,2.0,2.0
User_53,3.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,,1.0,4.0,5.0,1.0,1.0,,3.0,2.0,4.0,2.0,5.0
User_54,1.0,1.0,4.0,1.0,1.0,4.0,,5.0,1.0,1.0,5.0,3.0,3.0,3.0,5.0,,5.0,5.0,3.0,2.0
User_55,1.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,4.0,1.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,4.0,
User_56,5.0,1.0,1.0,3.0,,5.0,1.0,,3.0,3.0,1.0,4.0,2.0,3.0,,4.0,4.0,5.0,5.0,2.0
User_57,2.0,1.0,5.0,3.0,5.0,,4.0,5.0,4.0,2.0,,1.0,5.0,4.0,3.0,2.0,,3.0,4.0,4.0
User_58,5.0,,1.0,2.0,5.0,4.0,3.0,4.0,,4.0,1.0,2.0,3.0,1.0,,3.0,1.0,1.0,2.0,5.0
User_59,1.0,,3.0,4.0,2.0,2.0,5.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0
User_60,2.0,,5.0,,5.0,3.0,1.0,3.0,2.0,4.0,5.0,1.0,,2.0,5.0,1.0,2.0,5.0,,2.0
User_61,2.0,4.0,,1.0,3.0,5.0,4.0,3.0,2.0,5.0,5.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,,1.0
User_62,2.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,
User_63,,5.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,,4.0,,2.0,4.0,3.0,5.0,4.0,3.0,3.0,
User_64,5.0,1.0,2.0,1.0,1.0,4.0,3.0,5.0,1.0,5.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,2.0,
User_65,,2.0,5.0,2.0,5.0,1.0,3.0,2.0,3.0,5.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,4.0
User_66,5.0,2.0,3.0,5.0,3.0,,,1.0,4.0,5.0,1.0,5.0,2.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0
User_67,2.0,,5.0,5.0,,3.0,3.0,,5.0,1.0,5.0,5.0,4.0,,4.0,1.0,2.0,1.0,4.0,5.0
User_68,1.0,1.0,3.0,5.0,2.0,4.0,2.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,,4.0,3.0,2.0,5.0,5.0
User_69,5.0,,4.0,3.0,5.0,2.0,1.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,2.0,3.0,2.0,1.0,2.0
User_70,1.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,4.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,,1.0,
User_71,3.0,5.0,5.0,1.0,1.0,4.0,5.0,2.0,,1.0,3.0,3.0,4.0,5.0,1.0,3.0,1.0,2.0,4.0,2.0
User_72,1.0,1.0,5.0,3.0,3.0,2.0,4.0,3.0,5.0,,2.0,,4.0,5.0,4.0,5.0,5.0,1.0,2.0,5.0
User_73,,3.0,2.0,3.0,2.0,3.0,,5.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0
User_74,,4.0,3.0,4.0,5.0,3.0,5.0,2.0,1.0,3.0,2.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,
User_75,,5.0,3.0,,1.0,1.0,2.0,4.0,,3.0,3.0,2.0,1.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0
User_76,4.0,2.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,,3.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0
User_77,,5.0,,1.0,3.0,3.0,2.0,2.0,2.0,,5.0,4.0,1.0,3.0,5.0,,5.0,5.0,3.0,
User_78,2.0,4.0,3.0,3.0,,1.0,4.0,4.0,5.0,,5.0,3.0,4.0,3.0,1.0,5.0,3.0,3.0,1.0,2.0
User_79,4.0,,5.0,3.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,1.0,1.0,5.0,5.0,3.0,2.0,4.0,3.0,
User_80,4.0,5.0,4.0,,3.0,4.0,,1.0,4.0,4.0,4.0,1.0,1.0,4.0,5.0,5.0,,3.0,5.0,1.0
User_81,5.0,2.0,2.0,3.0,5.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0
User_82,4.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,
User_83,5.0,3.0,3.0,1.0,,,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,,2.0,3.0,1.0,4.0
User_84,2.0,3.0,2.0,4.0,4.0,5.0,1.0,5.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,3.0
User_85,5.0,1.0,3.0,3.0,4.0,,3.0,,5.0,5.0,1.0,4.0,1.0,,2.0,5.0,4.0,5.0,4.0,4.0
User_86,4.0,4.0,4.0,2.0,1.0,3.0,1.0,,2.0,5.0,2.0,4.0,,2.0,4.0,2.0,3.0,,2.0,
User_87,4.0,3.0,5.0,2.0,5.0,1.0,3.0,2.0,4.0,,4.0,2.0,5.0,5.0,5.0,,4.0,5.0,1.0,
User_88,2.0,1.0,3.0,,1.0,4.0,2.0,3.0,5.0,5.0,1.0,4.0,4.0,5.0,3.0,2.0,3.0,2.0,5.0,2.0
User_89,4.0,1.0,1.0,5.0,4.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,5.0,5.0,4.0,5.0,,1.0,4.0
User_90,4.0,4.0,3.0,5.0,4.0,2.0,2.0,1.0,5.0,4.0,2.0,5.0,1.0,3.0,5.0,5.0,3.0,5.0,1.0,1.0
User_91,,4.0,2.0,4.0,,2.0,,3.0,2.0,1.0,,5.0,1.0,3.0,2.0,4.0,4.0,5.0,4.0,2.0
User_92,2.0,4.0,,,1.0,5.0,5.0,2.0,1.0,2.0,3.0,,2.0,2.0,,2.0,1.0,4.0,3.0,1.0
User_93,4.0,,1.0,3.0,5.0,,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0
User_94,3.0,4.0,2.0,5.0,4.0,3.0,2.0,2.0,5.0,1.0,3.0,,3.0,1.0,1.0,5.0,1.0,4.0,2.0,5.0
User_95,3.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,,2.0,1.0,3.0,5.0,2.0,2.0,4.0
User_96,5.0,5.0,2.0,1.0,4.0,5.0,2.0,5.0,4.0,,,2.0,,3.0,3.0,5.0,5.0,3.0,5.0,4.0
User_97,1.0,4.0,3.0,3.0,4.0,,5.0,3.0,2.0,5.0,4.0,,4.0,,5.0,4.0,3.0,2.0,,2.0
User_98,,1.0,5.0,4.0,2.0,1.0,3.0,4.0,2.0,5.0,1.0,2.0,5.0,2.0,4.0,4.0,4.0,1.0,4.0,5.0
User_99,2.0,,5.0,5.0,4.0,1.0,2.0,1.0,,2.0,1.0,5.0,2.0,1.0,2.0,3.0,5.0,4.0,2.0,3.0
User_100,,4.0,2.0,1.0,,3.0,4.0,2.0,1.0,2.0,5.0,1.0,3.0,4.0,2.0,1.0,5.0,1.0,5.0,3.0
